Location,Year,Month,Temperature,Humidity,Population,GDP,Energy Source,Industry Type,Energy Consumption
City E,2021,12,8.708707363947465,32.43158668329195,730229,44259.20279009434,Renewable,Industrial,8591.719752848368
City D,2018,11,14.32775979685697,73.78805810402865,955810,57931.674336133015,Non-renewable,Industrial,11328.855876787347
City A,2022,12,15.978788818538654,22.062955462846723,652139,39526.16541979206,Non-renewable,Industrial,5282.335341905346
City C,2019,4,17.11301018989199,55.99966297359523,185992,11272.98100367861,Renewable,Residential,3166.6334179185797
City B,2021,7,18.8059136925915,64.0097456293779,164373,9962.65272978227,Non-renewable,Commercial,1316.6937226646655
City B,2017,2,2.229591395320888,47.18276887042653,716417,43422.057033164965,Non-renewable,Residential,6243.3936936646
City E,2021,6,8.06153685727216,79.98541978200046,973777,59020.65477450183,Non-renewable,Residential,9763.310123901882
City A,2022,6,-8.3206601391221,74.05283974703511,305465,18514.243313092426,Non-renewable,Industrial,3131.8000466829553
City D,2019,2,24.594063943911877,97.71191900559694,610481,37001.272721981164,Renewable,Industrial,6363.287986887225
City A,2018,4,27.669477580500605,60.70134394317456,80462,4876.804365338231,Non-renewable,Residential,2575.809960077305
City E,2022,8,-1.0343456431504503,63.024989170350636,689327,41780.13127619879,Renewable,Residential,6204.1422435252325
City C,2022,8,-0.9350215916643165,39.667145535505774,332693,20164.533254424103,Renewable,Residential,4508.525913480953
City A,2017,8,-8.108361901431069,50.83871125845764,730603,44281.870941925474,Non-renewable,Industrial,7093.645120555665
City E,2020,8,33.66727202566194,22.148847292664318,786914,47694.88243326997,Non-renewable,Industrial,8458.47437546533
City E,2019,1,26.323395565275312,75.14198308781516,357446,21664.813367461527,Non-renewable,Industrial,3957.2554001127905
City D,2016,2,6.231644130771443,44.9298239746832,666353,40387.676409438325,Renewable,Commercial,6182.973432163725
City C,2022,12,11.685872216142137,63.229360773335834,188088,11400.01962998356,Renewable,Residential,1494.3663814041236
City A,2020,4,3.138513229289085,40.399391712875925,495916,30057.484447827224,Non-renewable,Residential,3911.7865216823843
City E,2016,12,16.875978574493796,69.68289602717269,494577,29976.327615469243,Non-renewable,Commercial,4092.940398213016
City C,2019,9,22.27887855500787,55.80659943632355,168209,10195.152811130452,Renewable,Residential,2021.1914347668303
City D,2015,3,10.131581509634245,58.54885219090353,913725,55380.90115481439,Renewable,Residential,10959.803143449803
City E,2020,6,29.311738698123058,95.4085711852261,336782,20412.367673775698,Non-renewable,Residential,3040.252046662486
City D,2023,7,13.26616379984645,76.49282584990881,268248,16258.519765768311,Non-renewable,Commercial,3389.602526558738
City C,2015,8,-3.508602891498515,40.951978848005915,827012,50125.223481731766,Non-renewable,Commercial,8341.30878887742
City D,2017,7,18.00311191269387,60.31374541931403,568187,34437.83204405102,Renewable,Residential,7489.994147094303
City A,2021,3,10.800393465851116,57.333825524158264,972307,58931.558027999796,Renewable,Industrial,10652.261560016947
City D,2018,6,32.10523383867766,83.6042085502691,634220,38440.094262941675,Non-renewable,Residential,6469.736392471904
City B,2023,5,7.635226442116107,86.66840912769621,162028,9820.522205600444,Renewable,Residential,950.0405729219474
City B,2017,12,8.128958261754683,42.67542581933803,592062,35884.89654931376,Renewable,Industrial,4323.792155648244
City B,2019,10,19.28480254017246,85.69211631249891,757547,45914.947634273085,Renewable,Residential,7480.554936673437
City B,2017,4,13.71437982468926,34.360112423280114,380289,23049.328320077933,Non-renewable,Residential,6296.571805616465
City A,2021,1,6.850244489229567,81.02164436301564,511374,30994.394316826238,Non-renewable,Commercial,5030.880093998076
City E,2019,7,34.53984870560403,39.90276350410886,635423,38513.00813099743,Non-renewable,Residential,5051.021366316552
City B,2023,8,3.5983479499737587,43.83449259306367,349865,21205.32871764386,Renewable,Industrial,2126.3632847171384
City B,2021,2,2.488795639326286,88.19742721511952,119301,7230.837383972761,Renewable,Commercial,3249.7595107494117
City E,2016,7,28.899243283494656,53.60598920450376,58696,3557.566416791688,Non-renewable,Commercial,701.0162923227414
City B,2018,6,-9.848217540225003,99.24526598850369,535716,32469.763706862068,Non-renewable,Industrial,6190.438180735887
City E,2023,5,-0.943607759279157,32.15544239259529,348321,21111.7468288009,Renewable,Industrial,3967.6283208171267
City B,2016,4,16.570100971788925,57.06792304317467,670673,40649.51174609738,Non-renewable,Commercial,6568.606479509911
City E,2023,2,-2.689726246990082,78.5960264727149,506696,30710.86058884219,Renewable,Residential,4991.133663220226
City E,2019,10,34.36117652256147,20.429364638280596,533428,32331.087954483384,Non-renewable,Residential,4873.788978785084
City C,2016,6,10.888803008973397,32.14842225544139,481688,29195.124917738085,Non-renewable,Commercial,3288.4733284795366
City D,2018,5,16.88138337322479,21.628539952878427,532080,32249.385631840694,Non-renewable,Residential,6654.369422480138
City E,2021,2,-2.783194070266309,99.4302292306203,859691,52105.8987055006,Renewable,Commercial,9920.046864126429
City B,2022,10,3.0220145392367534,80.84997299371764,616784,37383.29775137053,Non-renewable,Industrial,6620.580114041129
City A,2017,7,17.6581152205737,49.88472781972802,203630,12342.02074163983,Non-renewable,Residential,2550.6355414225595
City E,2015,6,14.729901797887894,32.50279477574206,779718,47258.73264563141,Non-renewable,Residential,9140.945253714732
City B,2018,12,25.296377544852476,27.230659424276055,456990,27698.178356440534,Renewable,Commercial,2700.994885736799
City E,2016,11,2.115493035844228,62.55257604407295,893924,54180.76191842873,Renewable,Commercial,9845.224497609775
City C,2022,9,19.40939660179403,98.07130545593591,429257,26017.280349133667,Non-renewable,Residential,6033.877908162662
City A,2018,11,3.093897758698944,73.96887557262112,818521,49610.58370312712,Non-renewable,Residential,10526.330736565871
City A,2016,10,16.403867888575416,49.211069460698354,267747,16228.154139919656,Non-renewable,Residential,4031.2651839264863
City B,2020,5,17.226393545834387,60.06807785899906,732924,44422.54682534809,Non-renewable,Industrial,9441.58875588381
City D,2020,9,-4.517239989048005,99.91226943515615,536438,32513.524149701847,Non-renewable,Residential,5632.358378281574
City C,2018,9,14.688489980881975,61.501298310756034,642481,38940.79373427049,Renewable,Residential,6935.2945024552955
City D,2020,1,-9.462776502061788,97.13611886210846,61048,3700.1212111949535,Renewable,Commercial,197.97653248922836
City A,2016,5,12.554483811861118,21.30893750542608,226510,13728.778265426696,Renewable,Industrial,1902.481188735233
City A,2016,9,21.388484987363373,77.6770502587338,770694,46711.78772016583,Non-renewable,Commercial,9300.4851369949
City D,2018,7,-6.722527195450508,70.17291593704932,813778,49323.11032308686,Renewable,Residential,8905.236135475765
City E,2022,6,32.24198673876622,74.82638867658574,86478,5241.434315648624,Non-renewable,Industrial,2094.1372600506998
City D,2021,6,10.643998939525442,65.64536714059622,193202,11709.979331760047,Renewable,Residential,843.4238744828701
City D,2023,11,32.22873240308279,23.534142099332467,597599,36220.49429447145,Non-renewable,Industrial,6951.762015055409
City E,2022,7,-5.167070933899037,31.96511483934607,756414,45846.276468431715,Renewable,Industrial,9088.487552652392
City E,2019,1,32.745616748879065,93.78010162681717,401855,24356.444262297668,Non-renewable,Industrial,5287.922120722809
City E,2016,4,-5.086130525859398,38.63400066936933,95702,5800.5012474410205,Renewable,Industrial,147.37212134041442
City C,2019,1,10.76731093031012,99.43498154615534,186662,11313.589724873416,Renewable,Industrial,2447.5789973307487
City A,2022,6,32.20964300270895,74.36707875156935,131450,7967.188658294729,Non-renewable,Industrial,3439.4205775760447
City A,2023,4,0.47186901749921795,55.548359210094766,857818,51992.37611625004,Non-renewable,Commercial,9226.369930942275
City E,2023,1,-8.434675861356968,93.6039085148832,316735,19197.31836960807,Non-renewable,Commercial,4841.374463610691
